canonical_smiles,iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,lifetime,comments,paper
null,null,null,null,null,null,null,null,pubmed_11912777
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11912473
1-amino-oxy-3-aminopropane,null,null,null,null,null,null,The paper focuses on enzyme activity and structure-activity relationships rather than photophysical properties.,pubmed_11912471
α-difluoromethylornithine,null,null,null,null,null,null,The paper focuses on enzyme activity and structure-activity relationships rather than photophysical properties.,pubmed_11912471
3-[(aminooxy)methyl]piperidine,null,null,null,null,null,null,The paper focuses on enzyme activity and structure-activity relationships rather than photophysical properties.,pubmed_11912471
10- R,null,null,null,null,null,null,The paper focuses on enzyme activity and structure-activity relationships rather than photophysical properties.,pubmed_11912471
10- S,null,null,null,null,null,null,The paper focuses on enzyme activity and structure-activity relationships rather than photophysical properties.,pubmed_11912471
null,null,null,null,null,null,null,null,pubmed_11912350
null,null,null,null,null,null,null,null,pubmed_11912327
null,null,null,null,null,null,null,null,pubmed_11912224
"bis(2,2,2-trifluoroethyl) carbonate",null,null,null,null,null,null,No photophysical data provided for BtFEC in this paper.,pubmed_11912212
null,null,null,null,null,null,null,null,pubmed_11912206
null,null,null,null,null,null,null,null,pubmed_11912137
null,null,null,null,null,null,null,null,pubmed_11912130
null,null,null,null,null,null,null,null,pubmed_11912111
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11912101
coumarin,null,null,null,null,null,null,Coumarin undergoes [2 + 2] cycloaddition under UV light (λ > 300 nm) and reversible de-dimerization under λ < 300 nm.,pubmed_11912025
thymine,null,null,null,null,null,null,Thymine is mentioned in the context of photocycloaddition reactions but no specific photophysical data is provided.,pubmed_11912025
eosin y,null,null,null,null,null,null,Eosin Y is used as a photocatalyst in PET-RAFT polymerization but no detailed photophysical data is given.,pubmed_11912025
rhodamine 6g,null,null,null,null,null,null,Rhodamine 6G is mentioned as an example of a metal-free photocatalyst but lacks specific photophysical data.,pubmed_11912025
phenyl vinyl ketone (pvk),null,null,null,null,null,null,"PVK polymers degrade under UV light via the Norrish mechanism, but no absorption or emission data is provided.",pubmed_11912025
o-nitrobenzyl,null,null,null,null,null,null,o-Nitrobenzyl groups are used as photo-labile protecting groups but no photophysical data is given.,pubmed_11912025
tris[2-(2-pyridinyl)ethyl]amine (tpea),null,null,null,null,null,null,TPEA is mentioned in the context of a photocatalyst but lacks specific data points.,pubmed_11912025
poly(ethylene glycol) diacrylate (pegda),null,null,null,null,null,null,PEGDA is used as a monomer in 3D printing examples without detailed photophysical data.,pubmed_11912025
"n,n-dimethylacrylamide (dma m)",null,null,null,null,null,null,DMAm is another monomer used in 3D printing without specific photophysical data provided.,pubmed_11912025
thiomaleimide,null,null,null,null,null,null,Thiomaleimide is discussed as a dynamic crosslinker but no absorption or emission data is given.,pubmed_11912025
null,null,null,null,null,null,null,null,pubmed_11911206
null,null,null,null,null,null,null,null,pubmed_11910969
null,null,null,null,null,null,null,null,pubmed_11910880
null,null,null,null,null,null,null,null,pubmed_11910822
benzidinediazo-bis-1-naphthylamine-4-sulfonic acid,null,null,null,null,null,null,"Congo Red (CR) is used as a model pollutant for photocatalytic degradation, but specific photophysical data such as absorption and emission wavelengths, quantum yield, molar absorptivity, and lifetime are not explicitly provided in the paper.",pubmed_11910638
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11910425
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11910132
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11910037
null,null,null,null,null,null,null,null,pubmed_11910019
null,null,null,null,null,null,null,null,pubmed_11909754
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11909208
null,null,null,null,null,null,null,null,pubmed_11909164
null,null,null,null,null,null,null,null,pubmed_11908971
null,null,null,null,null,null,null,null,pubmed_11908672
